FishID,Source,Location,Year_samples_collected,d13C,d15N,d34S,%C,%N,%S,CN,Species,Station,SIA_location
1_Fa,Faroe Marine Institute,Faroes,2018,-17.1,13.27,17.08,46.1,14.45,0.96,3.19,Cod,FAROE_01,NOCS
2_Fa,Faroe Marine Institute,Faroes,2018,-17.1,14.27,18.29,46.45,14.47,0.98,3.21,Cod,FAROE_01,NOCS
3_Fa,Faroe Marine Institute,Faroes,2018,-16.89,13.51,18.6,46.61,14.5,0.97,3.21,Cod,FAROE_01,NOCS
4_Fa,Faroe Marine Institute,Faroes,2018,-17.35,12.68,18.23,47.09,14.63,0.92,3.22,Cod,FAROE_01,NOCS
5_Fa,Faroe Marine Institute,Faroes,2018,-16.95,13.6,18.47,46.42,14.54,0.99,3.19,Cod,FAROE_01,NOCS
6_Fa,Faroe Marine Institute,Faroes,2018,-17.28,12.94,18.36,46.26,14.63,0.98,3.16,Cod,FAROE_02,NOCS
7_Fa,Faroe Marine Institute,Faroes,2018,-17.19,12.68,18.41,46.25,14.78,0.98,3.13,Cod,FAROE_02,NOCS
8_Fa,Faroe Marine Institute,Faroes,2018,-17.25,12.87,18.6,46.22,14.59,0.99,3.17,Cod,FAROE_02,NOCS
9_Fa,Faroe Marine Institute,Faroes,2018,-16.9,13.26,18.24,46.46,14.7,0.99,3.16,Cod,FAROE_02,NOCS
10_Fa,Faroe Marine Institute,Faroes,2018,-17.78,12.11,18.78,46.08,14.73,0.97,3.13,Cod,FAROE_02,NOCS
11_Fa,Faroe Marine Institute,Faroes,2018,-17.46,12.38,18.43,46.43,14.49,0.97,3.2,Cod,FAROE_03,NOCS
12_Fa,Faroe Marine Institute,Faroes,2018,-17.1,13.49,18.49,46.05,14.41,0.93,3.2,Cod,FAROE_03,NOCS
13_Fa,Faroe Marine Institute,Faroes,2018,-17.66,12.66,18.32,46.72,14.59,0.95,3.2,Cod,FAROE_03,NOCS
14_Fa,Faroe Marine Institute,Faroes,2018,-17.17,12.86,18.34,46.64,14.61,0.98,3.19,Cod,FAROE_03,NOCS
15_Fa,Faroe Marine Institute,Faroes,2018,-17.96,12.62,18.3,47.31,14.52,0.97,3.26,Cod,FAROE_03,NOCS
16_Fa,Faroe Marine Institute,Faroes,2018,-17.77,12.27,18.05,46.86,14.59,0.94,3.21,Cod,FAROE_04,NOCS
17_Fa,Faroe Marine Institute,Faroes,2018,-17.97,12.66,18.72,46.53,14.61,0.92,3.19,Cod,FAROE_04,NOCS
18_Fa,Faroe Marine Institute,Faroes,2018,-17.72,12.13,18.88,46.67,14.67,0.95,3.18,Cod,FAROE_04,NOCS
19_Fa,Faroe Marine Institute,Faroes,2018,-17.77,12.62,19.01,47.01,14.67,0.93,3.2,Cod,FAROE_04,NOCS
20_Fa,Faroe Marine Institute,Faroes,2018,-17.42,12.88,18.29,46.32,14.71,0.92,3.15,Cod,FAROE_04,NOCS
21_Fa,Faroe Marine Institute,Faroes,2018,-17.33,13.44,18.21,46.01,14.64,0.94,3.14,Cod,FAROE_05,NOCS
22_Fa,Faroe Marine Institute,Faroes,2018,-16.57,13.27,18.08,45.58,14.74,0.91,3.09,Cod,FAROE_05,NOCS
23_Fa,Faroe Marine Institute,Faroes,2018,-17.48,12.87,18.33,46.32,14.61,0.99,3.17,Cod,FAROE_05,NOCS
24_Fa,Faroe Marine Institute,Faroes,2018,-18,12.07,18.68,46.01,14.63,0.97,3.15,Cod,FAROE_05,NOCS
25_Fa,Faroe Marine Institute,Faroes,2018,-17.28,13.31,17.87,46.21,14.67,0.93,3.15,Cod,FAROE_05,NOCS
26_Fa,Faroe Marine Institute,Faroes,2018,-17.41,13.68,18.41,45.83,14.53,0.97,3.15,Cod,FAROE_06,NOCS
27_Fa,Faroe Marine Institute,Faroes,2018,-16.91,14.36,18.43,45.99,14.46,1.02,3.18,Cod,FAROE_06,NOCS
28_Fa,Faroe Marine Institute,Faroes,2018,-17.29,13.6,18.76,46.31,14.5,1.01,3.19,Cod,FAROE_06,NOCS
29_Fa,Faroe Marine Institute,Faroes,2018,-17.18,13.35,17.93,45.46,14.7,0.92,3.09,Cod,FAROE_06,NOCS
30_Fa,Faroe Marine Institute,Faroes,2018,-17.16,14.46,18.46,46.24,14.68,1.05,3.15,Cod,FAROE_06,NOCS
31_Fa,Faroe Marine Institute,Faroes,2018,-17.89,12.43,19.37,45.96,14.88,1.04,3.09,Cod,FAROE_07,NOCS
32_Fa,Faroe Marine Institute,Faroes,2018,-17.85,13,18.69,46.03,14.6,1.06,3.15,Cod,FAROE_07,NOCS
33_Fa,Faroe Marine Institute,Faroes,2018,-17.17,14.12,18.79,45.37,14.71,1.03,3.08,Cod,FAROE_07,NOCS
34_Fa,Faroe Marine Institute,Faroes,2018,-17.93,12.61,19.01,46.05,14.75,1.06,3.12,Cod,FAROE_07,NOCS
35_Fa,Faroe Marine Institute,Faroes,2018,-17.79,13.48,19.01,45.97,14.56,1.03,3.16,Cod,FAROE_07,NOCS
71_Ir,Marine Institute,Irish,2018,-15.99,17.25,17.52,44.17,13.83,1.04,3.19,Cod,IRISH_03,NOCS
72_Ir,Marine Institute,Irish,2018,-16.29,16.65,18.75,44.19,13.87,1.18,3.19,Cod,IRISH_03,NOCS
73_Ir,Marine Institute,Irish,2018,-17.2,15.33,19.35,43.69,13.49,1.03,3.24,Cod,IRISH_02,NOCS
74_Ir,Marine Institute,Irish,2018,-17.49,15.52,19.19,43.55,13.34,0.97,3.27,Cod,IRISH_02,NOCS
75_Ir,Marine Institute,Irish,2018,-16.3,17.28,18.3,44.07,13.74,1,3.21,Cod,IRISH_02,NOCS
76_Ir,Marine Institute,Irish,2018,-17.38,17.72,18.33,43.85,13.77,1.07,3.18,Cod,IRISH_02,NOCS
77_Ir,Marine Institute,Irish,2018,-16.03,17.16,16.74,43.44,13.45,0.89,3.23,Cod,IRISH_01,NOCS
78_Ir,Marine Institute,Irish,2018,-17.11,16.8,18.19,43.08,13.87,0.87,3.11,Cod,IRISH_16,NOCS
79_Ir,Marine Institute,Irish,2018,-16.78,17.61,18.47,43.87,13.79,1.16,3.18,Cod,IRISH_16,NOCS
80_Ir,Marine Institute,Irish,2018,-16.57,15.7,19,43.62,13.84,1.14,3.15,Cod,IRISH_16,NOCS
81_Ir,Marine Institute,Irish,2018,-16.21,17.77,17.07,44.52,14.05,1.01,3.17,Cod,IRISH_16,NOCS
82_Ir,Marine Institute,Irish,2018,-16.4,17.78,17.97,44.5,13.87,1.08,3.21,Cod,IRISH_16,NOCS
83_Ir,Marine Institute,Irish,2018,-15.92,17.46,18.66,43.8,13.79,1.19,3.18,Cod,IRISH_16,NOCS
84_Ir,Marine Institute,Irish,2018,-15.55,18.1,17.84,45.41,14.05,1,3.23,Cod,IRISH_13,NOCS
85_Ir,Marine Institute,Irish,2018,-16.44,18.61,17.54,43.23,13.75,1.14,3.14,Cod,IRISH_14,NOCS
86_Ir,Marine Institute,Irish,2018,-17.5,15.66,19.47,43.99,13.77,1.22,3.2,Cod,IRISH_14,NOCS
87_Ir,Marine Institute,Irish,2018,-16.12,16.67,19.13,42.56,13.01,1.15,3.27,Cod,IRISH_15,NOCS
88_Ir,Marine Institute,Irish,2018,-16.49,16.7,19.46,45.13,14.09,1.06,3.2,Cod,IRISH_15,NOCS
89_Ir,Marine Institute,Irish,2018,-16.74,16.83,18.97,44.44,13.85,1.11,3.21,Cod,IRISH_05,NOCS
90_Ir,Marine Institute,Irish,2018,-16.29,17.23,18.34,44.03,13.8,1.03,3.19,Cod,IRISH_04,NOCS
91_Ir,Marine Institute,Irish,2018,-16.66,16.85,19,39.69,12.46,0.97,3.19,Cod,IRISH_04,NOCS
92_Ir,Marine Institute,Irish,2018,-15.92,17.12,18.96,44.36,13.87,1.13,3.2,Cod,IRISH_12,NOCS
93_Ir,Marine Institute,Irish,2018,-16.27,17.66,19.02,44.24,13.94,1.24,3.17,Cod,IRISH_12,NOCS
94_Ir,Marine Institute,Irish,2018,-17.24,17.08,19.23,44.07,13.89,1.15,3.17,Cod,IRISH_11,NOCS
95_Ir,Marine Institute,Irish,2018,-17.55,17.09,17.38,44.22,14,1.23,3.16,Cod,IRISH_10,NOCS
96_Ir,Marine Institute,Irish,2018,-17.23,17.18,17.96,43.53,13.95,1.16,3.12,Cod,IRISH_09,NOCS
97_Ir,Marine Institute,Irish,2018,-17.1,16.51,17.92,42.97,13.93,1.16,3.09,Cod,IRISH_09,NOCS
98_Ir,Marine Institute,Irish,2018,-16.91,16.62,17.31,42.9,13.99,1.12,3.07,Cod,IRISH_09,NOCS
99_Ir,Marine Institute,Irish,2018,-17.65,18.38,16.99,43.85,13.92,1.17,3.15,Cod,IRISH_08,NOCS
100_Ir,Marine Institute,Irish,2018,-16.38,17.05,17.23,43.16,14.03,1.12,3.08,Cod,IRISH_07,NOCS
101_Ir,Marine Institute,Irish,2018,-16.86,17.01,16.42,43.03,13.93,1.16,3.09,Cod,IRISH_07,NOCS
102_Ir,Marine Institute,Irish,2018,-17.74,16.61,17.85,43.2,13.98,1.13,3.09,Cod,IRISH_07,NOCS
103_Ir,Marine Institute,Irish,2018,-16.2,16.37,17.83,43.35,14.1,1.2,3.07,Cod,IRISH_07,NOCS
104_Ir,Marine Institute,Irish,2018,-19.58,14.71,17.98,43.44,13.78,1.18,3.15,Cod,IRISH_06,NOCS
105_Ir,Marine Institute,Irish,2018,-15.84,16.53,17.51,42.63,13.72,1.04,3.11,Cod,IRISH_06,NOCS
106_Ir,Marine Institute,Irish,2018,-17.66,15.71,18.64,43.53,13.88,1.08,3.14,Cod,IRISH_06,NOCS
107_Ir,Marine Institute,Irish,2018,-16.03,16.28,16.97,43.34,13.94,1.03,3.11,Cod,IRISH_06,NOCS
108_Ir,Marine Institute,Irish,2018,-16.38,16.68,18.15,43.07,13.93,1.06,3.09,Cod,IRISH_06,NOCS
120_Ns,Marine Scotland,North,2018,-17.94,13.83,19.16,43.39,14.25,1.22,3.05,Cod,NORTH_18,NOCS
140_Ns,Marine Scotland,North,2018,-17.08,14.33,19.38,43.06,13.78,1.18,3.13,Cod,NORTH_35,NOCS
143_Ns,Marine Scotland,North,2018,-17.79,14.25,19.63,43.3,13.54,1.25,3.2,Cod,NORTH_35,NOCS
146_Ns,Marine Scotland,North,2018,-18.49,13.65,20.02,42.39,13.79,1.21,3.07,Cod,NORTH_11,NOCS
161_Ns,Marine Scotland,North,2018,-17.64,14,18.71,42.51,13.98,1.29,3.04,Cod,NORTH_29,NOCS
185_Ns,Marine Scotland,North,2018,-18.41,13.54,18.75,43.28,14.04,1.19,3.08,Cod,NORTH_16,NOCS
200_Ns,Marine Scotland,North,2018,-17.98,14.13,18.25,42.29,13.68,1.17,3.09,Cod,NORTH_01,NOCS
210_Ns,Marine Scotland,North,2018,-17.96,13.21,18.74,41.46,13.44,1.17,3.09,Cod,NORTH_22,NOCS
221_Ns,Marine Scotland,North,2018,-17.89,14.38,19.38,43.41,13.74,1.26,3.16,Cod,NORTH_25,NOCS
222_Ns,Marine Scotland,North,2018,-17.85,14.29,19.46,43.49,13.65,1.23,3.19,Cod,NORTH_25,NOCS
256_Ns,Marine Scotland,North,2018,-18.2,13.56,18.84,41.93,13.55,1.06,3.09,Cod,NORTH_14,NOCS
266_Ns,Marine Scotland,North,2018,-18.63,14.12,18.98,41.49,13.53,1.13,3.07,Cod,NORTH_05,NOCS
269_Ns,Marine Scotland,North,2018,-18.72,13.69,19.28,40.97,13.6,1.09,3.01,Cod,NORTH_05,NOCS
280_Ns,Marine Scotland,North,2018,-17.58,13.58,19.46,41.62,13.52,1.24,3.08,Cod,NORTH_27,NOCS
281_Ns,Marine Scotland,North,2018,-17.73,14.42,19.2,41.6,13.47,1.16,3.09,Cod,NORTH_27,NOCS
293_Ns,Marine Scotland,North,2018,-17.52,13.63,18.87,42.82,13.94,1.21,3.07,Cod,NORTH_34,NOCS
304_Ns,Marine Scotland,North,2018,-17.76,13.4,18.88,43.6,14.14,1.14,3.08,Cod,NORTH_23,NOCS
306_Ns,Marine Scotland,North,2018,-17.46,15.25,18.72,42.77,13.92,1.16,3.07,Cod,NORTH_23,NOCS
315_Ns,Marine Scotland,North,2018,-17.64,14.52,19.07,44.14,14.21,1.28,3.11,Cod,NORTH_26,NOCS
316_Ns,Marine Scotland,North,2018,-17.43,14.55,19.16,41.72,13.56,1.21,3.08,Cod,NORTH_26,NOCS
355_Ns,Marine Scotland,North,2018,-17.91,13.74,19.62,42.66,13.93,1.21,3.06,Cod,NORTH_17,NOCS
356_Ns,Marine Scotland,North,2018,-17.87,13.54,19.51,40.93,13.31,1.19,3.08,Cod,NORTH_17,NOCS
366_Ns,Marine Scotland,North,2018,-17.39,14.29,18.8,42.68,13.9,1.12,3.07,Cod,NORTH_03,NOCS
367_Ns,Marine Scotland,North,2018,-17.52,14.24,19.22,44.32,14.4,1.17,3.08,Cod,NORTH_03,NOCS
368_Ns,Marine Scotland,North,2018,-17.92,12.79,19.37,41.53,13.72,1.1,3.03,Cod,NORTH_03,NOCS
369_Ns,Marine Scotland,North,2018,-16.99,15.96,18.54,41.99,13.72,1.18,3.06,Cod,NORTH_03,NOCS
377_Ns,Marine Scotland,North,2018,-19,14.09,19.48,42.27,13.75,1.19,3.07,Cod,NORTH_06,NOCS
379_Ns,Marine Scotland,North,2018,-18.89,13.68,18.97,42.36,13.76,1.09,3.08,Cod,NORTH_06,NOCS
381_Ns,Marine Scotland,North,2018,-18.23,13.24,19.2,41.45,13.42,1.15,3.09,Cod,NORTH_06,NOCS
393_Ns,Marine Scotland,North,2018,-17.67,14.84,18.77,41.29,13.34,1.22,3.1,Cod,NORTH_38,NOCS
394_Ns,Marine Scotland,North,2018,-17.41,14.61,18.85,41,13.34,1.16,3.07,Cod,NORTH_38,NOCS
403_Ns,Marine Scotland,North,2018,-17.98,14.11,18.79,40.9,13.54,1.04,3.02,Cod,NORTH_08,NOCS
405_Ns,Marine Scotland,North,2018,-18.45,13.03,19.05,41.68,13.8,1.14,3.02,Cod,NORTH_08,NOCS
415_Ns,Marine Scotland,North,2018,-17.77,14.14,18.6,42.91,14.03,1.21,3.06,Cod,NORTH_33,NOCS
428_Ns,Marine Scotland,North,2018,-17.63,12.92,19.57,42.49,13.99,1.2,3.04,Cod,NORTH_09,NOCS
453_Ns,Marine Scotland,North,2018,-17.87,13.3,19.99,44.29,14.53,1.32,3.05,Cod,NORTH_19,NOCS
469_Ns,Marine Scotland,North,2018,-18.02,14.61,19.29,42.46,13.93,1.1,3.05,Cod,NORTH_07,NOCS
472_Ns,Marine Scotland,North,2018,-18.26,13.79,19.16,41.7,13.94,1.05,2.99,Cod,NORTH_07,NOCS
473_Ns,Marine Scotland,North,2018,-17.88,14.45,17.26,42.56,13.65,0.96,3.12,Cod,NORTH_07,NOCS
490_Ns,Marine Scotland,North,2018,-17.81,14.59,18.2,42.23,13.39,1.1,3.15,Cod,NORTH_21,NOCS
493_Ns,Marine Scotland,North,2018,-17.92,14.6,18.62,43.27,13.71,1.09,3.16,Cod,NORTH_21,NOCS
