FishID,Location,C%,N%,S%,d13C,d15N,d34S,CN
FR_22,Vilaine,49.06,11.37,0.8,-23.05,6.02,18.2,4.31
FR_18,Vilaine,47.82,11.13,0.75,-22.25,7.08,18.94,4.3
FR_40,Vilaine,44.41,11.95,0.82,-21.49,6.07,19.97,3.72
FR_41,Vilaine,48.29,11.46,0.85,-21.97,6.9,19.63,4.21
FR_20,Vilaine,48.88,12.13,0.91,-21.51,5.99,19.96,4.03
FR_02,Vilaine,45.33,11.95,0.89,-21.71,7.89,21.06,3.79
FR_11,Vilaine,50.05,10.9,0.77,-22.34,6.99,20.33,4.59
FR_43,Vilaine,46.11,11.34,0.85,-21.62,7.61,20.56,4.07
FR_36,Vilaine,46.5,11.41,0.83,-22.35,6.44,19.3,4.08
FR_19,Vilaine,48.9,11.21,0.8,-22.13,6.96,20.84,4.36
FR_15,Vilaine,46.71,11.63,0.81,-22.42,6.64,20.24,4.02
FR_14,Vilaine,47.04,11.26,0.87,-22.76,6.95,20.72,4.18
FR_29,Vilaine,50.62,10.84,0.77,-23.22,6.48,20.39,4.67
FR_31,Vilaine,47.39,11.55,0.86,-23.24,5.52,20.97,4.1
FR_45,Vilaine,45.23,11.39,0.88,-20.51,8.08,20.91,3.97
FR_17,Vilaine,49.28,10.85,0.78,-21.46,7.01,20.69,4.54
FR_49,Vilaine,47.17,11.64,0.89,-21.36,6.97,21.35,4.05
FR_38,Vilaine,47.27,10.91,0.86,-22.59,6.85,20.96,4.33
FR_46,Vilaine,46.26,11.63,0.89,-21.95,8.56,21.36,3.98
FR_47,Vilaine,47.25,11.61,0.88,-22.11,7.19,21.33,4.07
FR_30,Vilaine,51.98,11.04,0.83,-23.96,5.92,20.9,4.71
FR_28,Vilaine,45.81,11.4,0.86,-21.38,6.45,20.75,4.02
FR_06,Vilaine,49.55,11.24,0.91,-22.45,6.4,20.57,4.41
FR_04,Vilaine,46.43,12.01,0.95,-21.67,7.81,20.66,3.87
FR_27,Vilaine,47,11.53,0.89,-21.94,6.45,20.8,4.08
FR_03,Vilaine,48.79,11.01,0.85,-22.99,5.49,21.08,4.43
FR_05,Vilaine,48.7,11.18,0.85,-22.6,7.07,20.97,4.36
FR_13,Vilaine,46.01,11.49,0.91,-21.72,6.66,21.11,4
FR_23,Vilaine,49.05,11.22,0.87,-22.55,7.75,21.02,4.37
FR_33,Vilaine,45.24,11.93,1.02,-21.98,7.22,20.93,3.79
FR_24,Vilaine,46.51,11.43,0.92,-21.71,7.96,20.52,4.07
FR_35,Vilaine,47.23,10.81,0.85,-21.9,6.27,21.37,4.37
FR_09,Vilaine,44.27,11.09,0.9,-21.63,6.09,21.34,3.99
FR_39,Vilaine,46.75,11,0.89,-21.8,6.74,21.45,4.25
FR_12,Vilaine,46.83,11.32,0.85,-22.82,6.32,20.81,4.14
FR_37,Vilaine,44.67,11.41,0.9,-20.96,6.38,20.76,3.91
SEV_16,Severn,51.17,10.7,0.88,-21.9,7.55,20.97,4.78
SEV_47,Severn,48.92,11.65,0.94,-22.28,7.72,21.23,4.2
SEV_32,Severn,48.99,10.9,0.84,-22.56,7.17,21.36,4.49
SEV_15,Severn,47.37,11.54,0.92,-22.04,6.22,20.93,4.1
SEV_26,Severn,49.36,10.72,0.84,-22.69,6.09,21.28,4.6
FR_01,Vilaine,47.52,11.91,0.97,-22.07,6.75,21.65,3.99
FR_44,Vilaine,48.08,11.43,0.93,-22.23,7.15,21.45,4.21
FR_42,Vilaine,46.02,12.24,1.01,-21.81,7.26,20.9,3.76
FR_08,Vilaine,49.9,10.52,0.86,-22.35,6.8,21,4.74
FR_34,Vilaine,45.59,11.23,0.97,-22.29,7.11,21.12,4.06
FR_16,Vilaine,48.94,11.15,0.92,-22.32,6.69,21.43,4.39
FR_50,Vilaine,47.24,11.14,0.88,-21.61,6.71,21.29,4.24
FR_21,Vilaine,45.96,11.53,1,-21.58,6.98,21.71,3.99
FR_07,Vilaine,47.98,11.1,0.93,-22.88,6.84,21.57,4.32
FR_48,Vilaine,48.8,11.1,0.93,-21.68,8.06,21.33,4.4
FR_25,Vilaine,49.71,10.9,0.89,-23.31,6.49,21.06,4.56
FR_26,Vilaine,47.47,11.58,0.96,-22.34,6.92,21.09,4.1
FR_32,Vilaine,48.83,10.69,0.88,-21.78,6.85,21.34,4.57
FR_10,Vilaine,47.52,11.61,0.97,-22.19,6.18,21.32,4.09
PAR_33,Parrett,48.76,11.45,0.72,-22.64,6.34,19.32,4.21
PAR_03,Parrett,48.92,10.73,0.68,-22.29,6.91,19.45,4.48
PAR_32,Parrett,49.12,10.87,0.68,-21.96,7.03,19.72,4.5
PAR_14,Parrett,47.05,11.61,0.92,-22.58,5.79,19.32,4.14
PAR_34,Parrett,49.23,11.2,0.68,-21.48,6.34,19.53,4.4
PAR_11,Parrett,47.41,11.49,0.8,-22.41,6.9,20.47,4.13
PAR_26,Parrett,50.84,11.38,0.63,-22.27,6.23,20.06,4.47
PAR_07,Parrett,49.47,11.95,0.63,-22.14,6.67,19.65,4.14
PAR_31,Parrett,45.5,11.72,0.98,-21.89,7.29,19.65,3.96
PAR_36,Parrett,47.21,11.65,0.9,-22.01,6,19.94,4.07
PAR_44,Parrett,47.42,11.34,0.87,-21.58,6.74,20.35,4.19
PAR_18,Parrett,43.96,9.43,0.67,-23.32,5.13,19.82,4.75
PAR_47,Parrett,48.14,11.39,0.91,-22.22,6.32,20.07,4.12
PAR_35,Parrett,47.72,11.67,0.92,-21.65,6.99,20.05,4.18
PAR_04,Parrett,48.19,11.61,0.87,-22.91,5.73,20.03,4.13
PAR_19,Parrett,48.14,11.42,0.93,-22.07,6.48,20.41,4.28
PAR_42,Parrett,46.12,10.64,0.89,-21.24,7.62,19.82,4.3
PAR_49,Parrett,47.17,10.75,0.84,-22.96,5.8,20.47,4.4
PAR_22,Parrett,46.75,10.89,0.93,-23.01,4.76,20.66,4.29
PAR_30,Parrett,46.97,11.86,0.91,-21.26,6.25,20.17,3.98
PAR_23,Parrett,47.01,10.63,0.82,-21.46,6.54,20.6,4.33
PAR_41,Parrett,46.77,12.36,0.95,-21.8,6.04,20.44,3.78
PAR_21,Parrett,48.86,11.62,0.89,-21.66,6.53,20.33,4.2
