Sample,Location,glycerol,C14,C15,mono_C16_1,mono_C16_2,C16,mono_C17_1,mono_C17_2,C17,mono_C18_1,mono_C18_2,C18,standard,multiply_unsaturated_C15,multiply_unsaturated_1,mono_C20,C20,multiply_unsaturated_2,multiply_unsaturated_3,cholesterol
SEV_33,Severn,7.51,1.84,0.18,0.25,2.05,14.71,0.13,0.04,0.07,9.7,1.77,3.63,5.57,2.02,1.24,0.68,0.05,4.04,1.06,7.03
SEV_07,Severn,4.36,0.8,0.11,0.09,1.24,10.48,0.1,0.04,0.06,5.42,1.25,2.43,6.98,1.61,0.41,0.35,0.03,1.9,0.73,6.62
FR_46,Vilaine,4.53,1.01,0.12,0.08,1.13,10.26,0.09,0.05,0.04,4.91,1.29,2.4,7.09,1.18,0.36,0.31,0.03,1.31,0.47,8.08
SP_23,Oria,7.51,2.52,0.27,0.39,3.34,16.94,0.21,0.06,0.08,10.66,2.46,3.29,6.45,2.27,1.24,0.62,0.06,3.87,1.3,4.28
PAR_38,Parrett,6.86,1.67,0.17,0.19,1.66,11.65,0.12,0.06,0.06,7.41,1.58,2.86,4.58,1.98,0.91,0.53,0.04,1.54,0.8,3.88
SP_44,Oria,8.83,2.54,0.27,0.28,2.58,13.8,0.18,0.06,0.08,9.16,2.02,2.82,4.68,2.73,1.34,0.55,0.04,3.31,1.06,3.47
FR_39,Vilaine,9.18,2.96,0.28,0.31,3.82,17.96,0.23,0.06,0.09,11.56,2.95,3.84,7.31,3.44,1.62,0.82,0.07,5.2,1.8,7.94
PAR_06,Parrett,9.65,2.28,0.32,0.3,3.46,16.55,0.26,0.08,0.11,9.95,2.63,3.16,5.14,2.51,0.93,0.76,0.06,3.59,1.52,5.45
FR_05,Vilaine,9.47,1.89,0.26,0.28,2.21,11.76,0.18,0.07,0.09,7.43,1.85,2.8,4.52,2.27,1.11,0.62,0.06,3.69,1.12,6.32
SEV_03,Severn,5.13,1.03,0.14,0.15,1.1,8.88,0.09,0.02,0.06,5.48,0.99,2.18,6.78,1.41,0.68,0.43,0.05,3.29,0.75,6.34
PAR_40,Parrett,6.22,1.1,0.16,0.19,1.6,10.34,0.12,0.03,0.06,6.22,1.29,2.63,7.03,1.28,0.55,0.46,0.06,2.24,0.65,10.59
SP_49,Oria,8.08,2.34,0.28,0.36,2.4,13.96,0.2,0.08,0.1,8.68,1.74,3.24,6,2.21,1.22,0.56,0.05,4.03,1.16,4.27
