FishID,Source,Location,Year_samples_collected,d13C,d15N,d34S,%C,%N,%S,CN,Species,Station,SIA_location
285_Ns,Marine Scotland,North,2018,-16.62,13.08,17.89,42.31,13.56,0.97,3.12,Haddock,NORTH_28,NOCS
287_Ns,Marine Scotland,North,2018,-17.92,12.99,18.04,42.58,13.35,1,3.19,Haddock,NORTH_28,NOCS
438_Ns,Marine Scotland,North,2018,-17.79,14.13,18.49,44.41,13.99,1.05,3.17,Haddock,NORTH_04,NOCS
441_Ns,Marine Scotland,North,2018,-17.27,14.11,18.56,43.75,13.98,0.99,3.13,Haddock,NORTH_04,NOCS
446_Ns,Marine Scotland,North,2018,-17.95,13.17,18.54,45.7,14.3,0.98,3.2,Haddock,NORTH_24,NOCS
689_Cel,Ifremer,Celtic,2018,-18.82,13.82,17.81,44.79,13.59,1.24,3.3,Haddock,CELTIC_06,LSMSF
690_Cel,Ifremer,Celtic,2018,-19.09,13.15,18.99,44.63,13.13,1.12,3.4,Haddock,CELTIC_17,LSMSF
691_Cel,Ifremer,Celtic,2018,-18.68,13.3,19.16,47.05,14.34,1.2,3.28,Haddock,CELTIC_17,LSMSF
692_Cel,Ifremer,Celtic,2018,-18.74,13.24,18.51,46.4,13.6,1.15,3.41,Haddock,CELTIC_17,LSMSF
693_Cel,Ifremer,Celtic,2018,-18.49,13.5,19.16,45.91,14.09,1.26,3.26,Haddock,CELTIC_17,LSMSF
694_Cel,Ifremer,Celtic,2018,-17.94,13.68,18.2,45.67,14.04,1.2,3.25,Haddock,CELTIC_17,LSMSF
695_Cel,Ifremer,Celtic,2018,-18.88,12.81,18.64,44.28,13.57,1.14,3.26,Haddock,CELTIC_18,LSMSF
696_Cel,Ifremer,Celtic,2018,-20.55,12.65,18.9,47.79,12.38,1.01,3.86,Haddock,CELTIC_18,LSMSF
697_Cel,Ifremer,Celtic,2018,-19.05,12.92,19.04,47.68,14.5,1.16,3.29,Haddock,CELTIC_18,LSMSF
