FishID,Source,Location,Year_samples_collected,d13C,d15N,d34S,%C,%N,%S,CN,Species,Station,SIA_location
116_Ns,Marine Scotland,North,2018,-19.12,13.97,18.31,43.64,13.56,1.04,3.22,Hake,NORTH_20,NOCS
171_Ns,Marine Scotland,North,2018,-19.17,12.82,18.79,44.05,13.68,0.92,3.22,Hake,NORTH_12,NOCS
831_Cel,Ifremer,Celtic,2018,-18.51,13.53,18.91,46.96,13.74,0.95,3.42,Hake,CELTIC_04,LSMSF
832_Cel,Ifremer,Celtic,2018,-19.56,12.09,19.48,42.55,13.22,1.02,3.22,Hake,CELTIC_08,LSMSF
833_Cel,Ifremer,Celtic,2018,-19.4,13.58,18.59,44.99,13.16,1.02,3.42,Hake,CELTIC_08,LSMSF
834_Cel,Ifremer,Celtic,2018,-19.02,12.19,18.8,44.48,13.61,1,3.27,Hake,CELTIC_08,LSMSF
835_Cel,Ifremer,Celtic,2018,-18.92,12.75,19.42,45.09,13.98,1.07,3.23,Hake,CELTIC_08,LSMSF
836_Cel,Ifremer,Celtic,2018,-19.03,12.67,19.45,44.21,13.71,1.06,3.22,Hake,CELTIC_08,LSMSF
837_Cel,Ifremer,Celtic,2018,-19.05,12.84,18.06,45.78,13.14,0.95,3.48,Hake,CELTIC_11,LSMSF
838_Cel,Ifremer,Celtic,2018,-19.37,12.6,18.62,54.63,15.23,1.09,3.59,Hake,CELTIC_11,LSMSF
839_Cel,Ifremer,Celtic,2018,-18.66,12.65,18.84,44.75,13.88,1,3.22,Hake,CELTIC_11,LSMSF
840_Cel,Ifremer,Celtic,2018,-18.3,12.49,18.37,45.31,13.91,1,3.26,Hake,CELTIC_11,LSMSF
841_Cel,Ifremer,Celtic,2018,-18.37,12.84,18.96,45.47,13.82,1.02,3.29,Hake,CELTIC_11,LSMSF
842_Cel,Ifremer,Celtic,2018,-19.32,11.86,18.84,43.92,13.7,1,3.21,Hake,CELTIC_14,LSMSF
843_Cel,Ifremer,Celtic,2018,-20.48,11.58,17.22,45.24,13.6,1.03,3.33,Hake,CELTIC_14,LSMSF
844_Cel,Ifremer,Celtic,2018,-19.83,11.4,18.34,47.02,12.92,0.96,3.64,Hake,CELTIC_14,LSMSF
845_Cel,Ifremer,Celtic,2018,-19.59,12.04,18.64,45.74,13.27,1,3.45,Hake,CELTIC_14,LSMSF
846_Cel,Ifremer,Celtic,2018,-19.09,12.01,18.73,44.13,13.34,0.99,3.31,Hake,CELTIC_14,LSMSF
847_Cel,Ifremer,Celtic,2018,-19.58,13.05,18.58,46.16,13.44,1.07,3.44,Hake,CELTIC_02,LSMSF
848_Cel,Ifremer,Celtic,2018,-19.45,12.48,18.14,45.16,13.89,1,3.25,Hake,CELTIC_02,LSMSF
849_Cel,Ifremer,Celtic,2018,-18.93,13.6,18.69,46.44,13.89,1.09,3.34,Hake,CELTIC_03,LSMSF
850_Cel,Ifremer,Celtic,2018,-20.47,11.07,19.34,46.92,13.73,1.07,3.42,Hake,CELTIC_03,LSMSF
851_Cel,Ifremer,Celtic,2018,-19.8,12.54,17.93,46.38,12.85,0.94,3.61,Hake,CELTIC_13,LSMSF
852_Cel,Ifremer,Celtic,2018,-19.45,12.41,19.01,47.73,14.4,1.11,3.32,Hake,CELTIC_13,LSMSF
853_Cel,Ifremer,Celtic,2018,-19.17,12.21,18.81,44.91,13.71,1.07,3.28,Hake,CELTIC_13,LSMSF
854_Cel,Ifremer,Celtic,2018,-18.57,14.35,18.38,45.07,13.58,0.99,3.32,Hake,CELTIC_13,LSMSF
855_Cel,Ifremer,Celtic,2018,-19.81,12.06,18.16,46.08,13.28,1.02,3.47,Hake,CELTIC_13,LSMSF
856_Cel,Ifremer,Celtic,2018,-19.23,12.44,18.84,46.86,14.01,1.06,3.35,Hake,CELTIC_12,LSMSF
857_Cel,Ifremer,Celtic,2018,-19.64,11.44,18.84,45.8,13.85,1.04,3.31,Hake,CELTIC_12,LSMSF
858_Cel,Ifremer,Celtic,2018,-19.32,12.27,18.81,42.24,12.45,0.87,3.39,Hake,CELTIC_12,LSMSF
859_Cel,Ifremer,Celtic,2018,-18.46,13.9,17.98,44.9,13.48,0.94,3.33,Hake,CELTIC_12,LSMSF
860_Cel,Ifremer,Celtic,2018,-20.46,11.93,18.68,48.75,12.46,0.93,3.91,Hake,CELTIC_12,LSMSF
861_Cel,Ifremer,Celtic,2018,-19.05,13.57,18.91,44.61,13.2,1.07,3.38,Hake,CELTIC_05,LSMSF
862_Cel,Ifremer,Celtic,2018,-20,13.03,17.67,46.2,13.03,0.97,3.55,Hake,CELTIC_10,LSMSF
863_Cel,Ifremer,Celtic,2018,-19.11,13.38,18.37,46.52,13.48,0.94,3.45,Hake,CELTIC_10,LSMSF
864_Cel,Ifremer,Celtic,2018,-18.86,13.74,17.65,44.66,13.22,0.91,3.38,Hake,CELTIC_10,LSMSF
865_Cel,Ifremer,Celtic,2018,-20.2,13.36,18.46,49.02,12.7,0.91,3.86,Hake,CELTIC_10,LSMSF
866_Cel,Ifremer,Celtic,2018,-19.96,13.36,17.44,49.02,12.95,0.85,3.79,Hake,CELTIC_10,LSMSF
867_Cel,Ifremer,Celtic,2018,-20,11.35,19.12,46.59,13.28,1.02,3.51,Hake,CELTIC_09,LSMSF
868_Cel,Ifremer,Celtic,2018,-19.44,11.94,18.58,44.68,13.42,1.05,3.33,Hake,CELTIC_09,LSMSF
869_Cel,Ifremer,Celtic,2018,-19.72,12.41,16.94,44.98,13.86,1.14,3.25,Hake,CELTIC_09,LSMSF
870_Cel,Ifremer,Celtic,2018,-22.23,12.57,17.12,51.73,11.22,0.86,4.61,Hake,CELTIC_09,LSMSF
871_Cel,Ifremer,Celtic,2018,-19.39,12.24,18.88,43.62,13.36,1,3.26,Hake,CELTIC_09,LSMSF
872_Cel,Ifremer,Celtic,2018,-20.1,12.16,18.37,48.4,12.46,0.92,3.88,Hake,CELTIC_15,LSMSF
873_Cel,Ifremer,Celtic,2018,-19.53,12.31,18.25,45.63,13.17,0.96,3.47,Hake,CELTIC_15,LSMSF
874_Cel,Ifremer,Celtic,2018,-18.7,12.15,18.74,46.02,13.92,1.02,3.31,Hake,CELTIC_15,LSMSF
875_Cel,Ifremer,Celtic,2018,-20.27,12.75,17.48,55.58,14.21,1.18,3.91,Hake,CELTIC_15,LSMSF
877_Cel,Ifremer,Celtic,2018,-20.15,13.68,16.7,55.34,14.21,1.23,3.89,Hake,CELTIC_07,LSMSF
878_Cel,Ifremer,Celtic,2018,-20.21,11.07,19.07,44.24,12.88,1,3.44,Hake,CELTIC_07,LSMSF
879_Cel,Ifremer,Celtic,2018,-19.7,11.77,17.36,45.13,13.62,1,3.31,Hake,CELTIC_07,LSMSF
880_Cel,Ifremer,Celtic,2018,-18.59,13.55,18.09,44.87,13.33,0.93,3.37,Hake,CELTIC_07,LSMSF
881_Cel,Ifremer,Celtic,2018,-18.86,11.09,18.74,44.62,13.75,0.97,3.25,Hake,CELTIC_07,LSMSF
746_Bis,Ifremer,Bay of Biscay,2018,-18.77,12.64,16.89,41.15,13.11,1.11,3.14,Hake,BISCAY_09,LSMSF
747_Bis,Ifremer,Bay of Biscay,2018,-18.81,12.92,17.83,42.45,13.46,1.06,3.15,Hake,BISCAY_09,LSMSF
748_Bis,Ifremer,Bay of Biscay,2018,-18.7,13,17.36,42.45,13.48,1.12,3.15,Hake,BISCAY_09,LSMSF
749_Bis,Ifremer,Bay of Biscay,2018,-18.66,12.98,16.81,40.83,12.98,1.08,3.15,Hake,BISCAY_09,LSMSF
750_Bis,Ifremer,Bay of Biscay,2018,-18.76,12.83,18.1,43.06,13.67,1.08,3.15,Hake,BISCAY_09,LSMSF
751_Bis,Ifremer,Bay of Biscay,2018,-18.87,13.01,18.08,43.24,13.77,1.1,3.14,Hake,BISCAY_06,LSMSF
752_Bis,Ifremer,Bay of Biscay,2018,-18.9,13.2,18.06,40.38,12.96,1.03,3.12,Hake,BISCAY_06,LSMSF
753_Bis,Ifremer,Bay of Biscay,2018,-19.01,13.23,18.06,40.89,13,1.12,3.15,Hake,BISCAY_06,LSMSF
754_Bis,Ifremer,Bay of Biscay,2018,-18.88,13.37,18.61,43.96,13.93,1.17,3.15,Hake,BISCAY_06,LSMSF
755_Bis,Ifremer,Bay of Biscay,2018,-18.96,13.26,15.92,41.91,13.27,1.07,3.16,Hake,BISCAY_06,LSMSF
756_Bis,Ifremer,Bay of Biscay,2018,-18.27,13.86,15.24,42.07,13.26,1.05,3.17,Hake,BISCAY_10,LSMSF
757_Bis,Ifremer,Bay of Biscay,2018,-18.3,13.95,17.35,43.34,13.74,1.12,3.15,Hake,BISCAY_10,LSMSF
758_Bis,Ifremer,Bay of Biscay,2018,-18.76,13.3,17.63,42.06,13.21,1.07,3.18,Hake,BISCAY_10,LSMSF
759_Bis,Ifremer,Bay of Biscay,2018,-19.14,13.79,17.74,42.61,12.89,1.04,3.31,Hake,BISCAY_10,LSMSF
760_Bis,Ifremer,Bay of Biscay,2018,-18.64,13.46,17.92,43.62,13.71,1.1,3.18,Hake,BISCAY_10,LSMSF
761_Bis,Ifremer,Bay of Biscay,2018,-18.42,13.31,18.24,43.41,13.81,1.18,3.14,Hake,BISCAY_08,LSMSF
762_Bis,Ifremer,Bay of Biscay,2018,-18.29,15.19,17.15,44.05,13.79,1.09,3.19,Hake,BISCAY_08,LSMSF
763_Bis,Ifremer,Bay of Biscay,2018,-18.5,14.03,17.96,41.59,13.17,1.06,3.16,Hake,BISCAY_08,LSMSF
764_Bis,Ifremer,Bay of Biscay,2018,-19.36,13.39,17.65,43.85,13.16,1.09,3.33,Hake,BISCAY_08,LSMSF
765_Bis,Ifremer,Bay of Biscay,2018,-18.88,13.44,17.89,42.96,13.48,1.16,3.19,Hake,BISCAY_08,LSMSF
766_Bis,Ifremer,Bay of Biscay,2018,-18.43,13.76,16.63,42.09,13.05,1.11,3.23,Hake,BISCAY_04,LSMSF
767_Bis,Ifremer,Bay of Biscay,2018,-18.64,14,17.67,41.57,12.98,1.08,3.2,Hake,BISCAY_04,LSMSF
768_Bis,Ifremer,Bay of Biscay,2018,-18.2,14.64,17.01,41.22,13.21,1.15,3.12,Hake,BISCAY_04,LSMSF
769_Bis,Ifremer,Bay of Biscay,2018,-18.45,13.49,17.57,42.3,13.07,1.06,3.24,Hake,BISCAY_04,LSMSF
770_Bis,Ifremer,Bay of Biscay,2018,-18.57,13.6,17.6,40.89,12.94,1.05,3.16,Hake,BISCAY_04,LSMSF
771_Bis,Ifremer,Bay of Biscay,2018,-18.89,13.69,17.4,42.96,13.69,1.15,3.14,Hake,BISCAY_02,LSMSF
772_Bis,Ifremer,Bay of Biscay,2018,-18.59,13.17,18.06,41.48,13.18,1.07,3.15,Hake,BISCAY_02,LSMSF
773_Bis,Ifremer,Bay of Biscay,2018,-19.78,13.22,17.66,43.12,12.56,1.09,3.43,Hake,BISCAY_02,LSMSF
774_Bis,Ifremer,Bay of Biscay,2018,-18.96,12.44,17.65,40.9,12.96,1.09,3.16,Hake,BISCAY_02,LSMSF
