Sample_ID,Thickness_cm,Region
1,0.18,Faroes
2,0.112,Faroes
3,0.058,Faroes
4,0.112,Faroes
5,0.098,Faroes
7,0.095,Faroes
8,0.088,Faroes
9,0.108,Faroes
12,0.157,Faroes
13,0.096,Faroes
15,0.139,Faroes
16,0.048,Faroes
17,0.063,Faroes
18,0.047,Faroes
20,0.127,Faroes
21,0.073,Faroes
22,0.077,Faroes
23,0.121,Faroes
24,0.141,Faroes
25,0.118,Faroes
27,0.142,Faroes
30,0.123,Faroes
31,0.106,Faroes
32,0.086,Faroes
33,0.117,Faroes
34,0.106,Faroes
35,0.127,Faroes
73,0.069,Irish
84,0.078,Irish
106,0.073,Irish
120,0.16,North
141,0.128,North
142,0.152,North
146,0.162,North
157,0.171,North
160,0.171,North
161,0.191,North
181,0.078,North
182,0.168,North
185,0.116,North
210,0.146,North
256,0.171,North
266,0.165,North
267,0.151,North
269,0.151,North
280,0.134,North
293,0.21,North
304,0.173,North
305,0.154,North
315,0.114,North
316,0.185,North
355,0.141,North
356,0.131,North
366,0.164,North
367,0.185,North
368,0.206,North
369,0.249,North
377,0.174,North
379,0.103,North
393,0.205,North
394,0.237,North
403,0.183,North
405,0.151,North
415,0.17,North
428,0.254,North
430,0.098,North
453,0.159,North
469,0.185,North
472,0.123,North
473,0.195,North
490,0.138,North
493,0.173,North
504,0.144,North
505,0.118,North
507,0.181,North
526,0.093,Baltic
530,0.073,Baltic
532,0.085,Baltic
535,0.069,Baltic
538,0.087,Baltic
540,0.069,Baltic
541,0.092,Baltic
542,0.127,Baltic
543,0.069,Baltic
544,0.12,Baltic
545,0.082,Baltic
548,0.107,Baltic
550,0.088,Baltic
551,0.115,Baltic
552,0.095,Baltic
553,0.115,Baltic
554,0.083,Baltic
555,0.083,Baltic
559,0.107,Baltic
560,0.093,Baltic
561,0.078,Baltic
563,0.086,Baltic
565,0.059,Baltic
567,0.146,Iceland
568,0.198,Iceland
569,0.171,Iceland
570,0.068,Iceland
571,0.2,Iceland
572,0.151,Iceland
573,0.164,Iceland
574,0.209,Iceland
575,0.305,Iceland
576,0.188,Iceland
592,0.195,Iceland
593,0.187,Iceland
594,0.09,Iceland
595,0.191,Iceland
596,0.161,Iceland
603,0.063,Iceland
604,0.166,Iceland
605,0.161,Iceland
606,0.211,Iceland
607,0.175,Iceland
608,0.156,Iceland
609,0.157,Iceland
610,0.188,Iceland
611,0.053,Iceland
612,0.21,Iceland
618,0.204,Iceland
619,0.219,Iceland
620,0.186,Iceland
621,0.195,Iceland
634,0.156,Iceland
636,0.215,Iceland
637,0.2,Iceland
648,0.22,Iceland
649,0.22,Iceland
650,0.163,Iceland
651,0.179,Iceland
653,0.283,Iceland
654,0.169,Iceland
655,0.185,Iceland
656,0.181,Iceland
668,0.087,Iceland
669,0.213,Iceland
670,0.156,Iceland
671,0.162,Iceland
674,0.17,Celtic
675,0.147,Celtic
676,0.118,Celtic
677,0.17,Celtic
678,0.152,Celtic
679,0.122,Celtic
680,0.107,Celtic
681,0.097,Celtic
682,0.176,Celtic
684,0.176,Celtic
685,0.146,Celtic
686,0.146,Celtic
687,0.155,Celtic
688,0.107,Celtic
1049,0.244,Norwegian
1050,0.202,Norwegian
1051,0.21,Norwegian
1057,0.228,Norwegian
1058,0.269,Norwegian
1059,0.245,Norwegian
1060,0.096,Norwegian
1061,0.203,Norwegian
1062,0.22,Norwegian
1063,0.181,Norwegian
1109,0.249,Norwegian
1110,0.263,Norwegian
1111,0.175,Norwegian
1112,0.166,Norwegian
1113,0.211,Norwegian
1114,0.181,Norwegian
1115,0.124,Norwegian
1116,0.254,Norwegian
1117,0.193,Norwegian
1118,0.191,Norwegian
1119,0.244,Norwegian
1120,0.122,Norwegian
1121,0.205,Norwegian
1122,0.195,Norwegian
1123,0.119,Norwegian
1124,0.146,Norwegian
1125,0.21,Norwegian
1126,0.212,Norwegian
1127,0.218,Norwegian
1128,0.266,Norwegian
1129,0.216,Norwegian
1130,0.303,Norwegian
1131,0.228,Norwegian
1132,0.186,Norwegian
1133,0.142,Norwegian
1134,0.254,Norwegian
1135,0.175,Norwegian
1137,0.147,Rockall
1138,0.136,Rockall
1139,0.103,Rockall
1140,0.088,Rockall
1141,0.137,Rockall
1202,0.122,Wscotland
1203,0.108,Wscotland
1204,0.159,Wscotland
1205,0.129,Wscotland
1206,0.111,Wscotland
1207,0.132,Wscotland
1208,0.106,Wscotland
1209,0.142,Wscotland
Y_02,0.202,Barents
Y_06,0.228,Barents
Y_09,0.186,Barents
Y_10,0.23,Barents
Y_14,0.19,Barents
Y_16,0.225,Barents
Y_19,0.192,Barents
Y_22,0.262,Barents
Y_25,0.181,Barents
Y_29,0.196,Barents
