sample_ID,location,filename,position_mm,sample_surface,validity,E.gain,E.offset,F.slope,F.offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Sr,Zr,Pd,Cd,Sn,I,Cs,Sm,Eu,Ta,W,Ir,Pt,Au,Pb,Bi,Rn,Ra,Th,Pa,U,Fe_a_x_2,Fe_a_plus_b,S1,S2,S3,Mo_inc,Mo_coh,Dt
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000012.spe,946.4,7.71,1,0.010268,-0.009799,0.01059,0.070016,268834,3.39,223,0,3897,12919,8566,5066,191106,8473,618,877,24,3066,5788,5530,2780,7071,903,3143,7453,1970,10521,338,140,2585,383,122,0,274,5071,6649,2501,3651,3005,3407,2656,3871,3339,0,2141,1531,3327,1687,0,0,0,1479591,188591,0.366
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000013.spe,946.6,7.71,1,0.010268,-0.009799,0.01059,0.070016,271660,3.22,97,0,3769,12442,8044,4810,185909,8274,693,756,0,3401,5948,5501,3197,6760,878,3280,7098,1903,10714,298,185,2753,413,141,0,0,4757,6104,2596,3821,3131,3667,3556,4576,3956,0,3553,2417,4294,1049,0,0,0,1496052,190221,0.368
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000014.spe,946.8,7.71,1,0.010268,-0.009799,0.01059,0.070016,272356,3.18,207,0,4046,13313,8655,4710,199762,8682,614,1168,0,3216,6228,5333,2569,5880,711,3760,7779,1992,10223,439,135,2890,440,148,127,436,5403,5915,2381,2849,3343,4251,2902,4752,3748,704,3340,2130,3582,1728,0,0,0,1492426,189823,0.368
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000015.spe,947,7.72,1,0.010268,-0.009799,0.01059,0.070016,271435,3.25,207,0,4641,15107,9718,4679,219464,9744,496,946,112,3559,6087,5864,3458,6826,555,3488,7941,1480,9785,206,90,2936,395,81,152,157,4914,6120,1892,2432,2337,3627,2454,4089,3664,787,3285,2127,2098,1694,48,0,0,1483247,188257,0.367
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000016.spe,947.2,7.72,1,0.010268,-0.009799,0.01059,0.070016,270530,3.18,133,0,4500,14662,9549,4664,215856,9267,744,993,237,3104,5812,5987,3140,7939,190,3443,9560,2299,11389,336,48,2833,448,128,257,596,5119,6152,2260,3124,2561,4518,2620,4392,3238,114,4241,2793,3636,747,0,0,74,1480296,187745,0.367
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000017.spe,947.4,7.72,1,0.010268,-0.009799,0.01059,0.070016,272211,3.21,149,0,5077,17376,10985,4571,245501,10078,501,889,364,3274,7624,5857,3113,8176,236,3879,9826,1666,10577,195,23,3017,414,124,244,397,5622,6703,1250,2097,1624,4402,3112,3834,3479,524,3520,2133,3003,2094,290,180,0,1475909,188760,0.366
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000018.spe,947.6,7.72,1,0.010268,-0.009799,0.01059,0.070016,274787,3.21,24,0,6040,19337,12353,4566,271751,10949,453,870,384,3235,7523,5755,2855,8451,632,3611,9908,2007,10928,87,0,3336,256,116,389,669,5476,6714,2232,2324,1691,3903,2387,4023,3672,632,3957,1904,4344,2288,372,112,0,1484580,188202,0.368
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000019.spe,947.8,7.72,1,0.010268,-0.009799,0.01059,0.070016,272580,3.35,128,0,6259,19822,12066,4706,274347,10929,578,638,224,3181,6601,5859,3565,8689,874,4025,8663,2411,10305,78,0,3009,274,66,436,465,5438,6423,1501,2772,1469,3579,1667,4295,3574,1272,2570,2637,2727,1419,400,296,0,1478331,187953,0.367
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000020.spe,948,7.72,1,0.010268,-0.009799,0.01059,0.070016,271478,3.37,160,0,5844,18214,11340,4923,259815,10455,522,595,417,3210,6292,5941,2776,7895,652,3630,8333,1985,10565,101,0,3178,257,109,277,339,5187,5718,2332,2521,2589,3576,1982,3854,3569,489,3018,1950,2590,2423,250,96,0,1477969,187261,0.367
120,North,E:\FISH 2020\FISH Final measurements\05032021\0120\XRF data\L000021.spe,948.2,7.72,1,0.010268,-0.009799,0.01059,0.070016,273167,3.38,290,0,5796,18720,11592,4909,262327,10468,407,546,250,3329,6723,5995,2929,7106,1508,3122,7671,1832,10249,96,0,3144,357,113,323,314,5426,6484,2406,2925,1917,2863,2736,3544,3635,0,2148,3031,3541,2112,0,344,120,1486710,188481,0.368
