Date_dd_mm_yyyy,Distance_mm,Height_cm
05032021,-1.705,7.339
05032021,-1.52,7.342
05032021,-1.33,7.344
05032021,-1.14,7.341
05032021,-0.955,7.341
05032021,-0.765,7.341
05032021,-0.58,7.341
05032021,-0.39,7.341
05032021,-0.2,7.339
05032021,-0.015,7.344
05032021,0.175,7.349
05032021,0.36,7.349
05032021,0.55,7.349
05032021,0.74,7.346
05032021,0.925,7.341
05032021,1.115,7.336
05032021,1.3,7.334
05032021,1.49,7.339
05032021,1.68,7.344
05032021,1.865,7.344
05032021,2.055,7.344
05032021,2.24,7.344
05032021,2.43,7.344
05032021,2.62,7.344
05032021,2.805,7.344
05032021,2.995,7.346
05032021,3.18,7.351
05032021,3.37,7.351
05032021,3.56,7.351
05032021,3.745,7.354
05032021,3.935,7.351
05032021,4.12,7.351
05032021,4.31,7.354
05032021,4.5,7.354
05032021,4.685,7.354
05032021,4.875,7.354
05032021,5.06,7.351
05032021,5.25,7.351
05032021,5.44,7.354
05032021,5.625,7.354
05032021,5.815,7.354
05032021,6,7.354
05032021,6.19,7.351
05032021,6.38,7.351
05032021,6.565,7.351
05032021,6.755,7.349
05032021,6.94,7.349
05032021,7.13,7.351
05032021,7.32,7.354
05032021,7.505,7.356
05032021,7.695,7.358
05032021,7.88,7.358
05032021,8.07,7.358
05032021,8.26,7.355
05032021,8.445,7.354
05032021,8.635,7.356
05032021,8.82,7.356
05032021,9.01,7.356
05032021,9.2,7.358
05032021,9.385,7.358
05032021,9.575,7.358
05032021,9.76,7.358
05032021,9.95,7.361
05032021,10.14,7.365
05032021,10.325,7.363
05032021,10.515,7.362
05032021,10.7,7.363
05032021,10.89,7.363
05032021,11.08,7.363
05032021,11.265,7.363
05032021,11.455,7.363
05032021,11.64,7.363
05032021,11.83,7.363
05032021,12.02,7.366
05032021,12.205,7.368
05032021,12.395,7.365
05032021,12.58,7.366
05032021,12.77,7.368
05032021,12.96,7.365
05032021,13.145,7.363
05032021,13.335,7.363
05032021,13.52,7.363
05032021,13.71,7.363
05032021,13.9,7.363
05032021,14.085,7.366
05032021,14.275,7.363
05032021,14.46,7.358
05032021,14.65,7.355
05032021,14.84,7.359
05032021,15.025,7.36
05032021,15.215,7.361
05032021,15.4,7.36
05032021,15.59,7.358
05032021,15.78,7.358
05032021,15.965,7.358
05032021,16.155,7.358
05032021,16.34,7.361
05032021,16.53,7.366
05032021,16.72,7.365
05032021,16.905,7.36
05032021,17.095,7.361
05032021,17.28,7.366
05032021,17.47,7.365
05032021,17.66,7.366
05032021,17.845,7.368
05032021,18.035,7.368
05032021,18.22,7.368
05032021,18.41,7.366
05032021,18.6,7.366
05032021,18.785,7.368
05032021,18.975,7.365
05032021,19.16,7.363
05032021,19.35,7.366
05032021,19.54,7.365
05032021,19.725,7.366
05032021,19.915,7.368
05032021,20.1,7.368
05032021,20.29,7.365
05032021,20.48,7.363
05032021,20.665,7.363
05032021,20.855,7.363
05032021,21.04,7.363
05032021,21.23,7.363
05032021,21.42,7.366
05032021,21.605,7.371
05032021,21.795,7.373
05032021,21.98,7.371
05032021,22.17,7.371
05032021,22.36,7.37
05032021,22.545,7.368
05032021,22.735,7.372
05032021,22.92,7.37
05032021,23.11,7.371
05032021,23.3,7.37
05032021,23.485,7.375
05032021,23.675,7.375
05032021,23.86,7.373
05032021,24.05,7.376
05032021,24.24,7.378
05032021,24.425,7.375
05032021,24.615,7.376
05032021,24.8,7.375
05032021,24.99,7.376
05032021,25.18,7.375
05032021,25.365,7.376
05032021,25.555,7.375
05032021,25.74,7.373
05032021,25.93,7.373
05032021,26.12,7.376
05032021,26.305,7.378
05032021,26.495,7.375
05032021,26.68,7.373
05032021,26.87,7.376
05032021,27.06,7.375
05032021,27.245,7.376
05032021,27.435,7.375
05032021,27.62,7.376
05032021,27.81,7.375
05032021,28,7.375
05032021,28.185,7.378
05032021,28.375,7.378
05032021,28.56,7.378
05032021,28.75,7.378
05032021,28.94,7.378
05032021,29.125,7.378
05032021,29.315,7.378
05032021,29.5,7.375
05032021,29.69,7.373
05032021,29.88,7.376
05032021,30.065,7.378
05032021,30.255,7.381
05032021,30.44,7.383
05032021,30.63,7.383
05032021,30.82,7.383
05032021,31.005,7.38
05032021,31.195,7.378
05032021,31.38,7.378
05032021,31.57,7.381
05032021,31.76,7.383
05032021,31.945,7.383
05032021,32.135,7.38
05032021,32.32,7.378
05032021,32.51,7.381
05032021,32.7,7.383
05032021,32.885,7.38
05032021,33.075,7.378
05032021,33.26,7.381
05032021,33.45,7.383
05032021,33.64,7.383
05032021,33.825,7.386
05032021,34.015,7.385
05032021,34.2,7.383
05032021,34.39,7.386
05032021,34.58,7.384
05032021,34.765,7.386
05032021,34.955,7.388
05032021,35.14,7.385
05032021,35.33,7.386
05032021,35.52,7.385
05032021,35.705,7.386
05032021,35.895,7.388
05032021,36.08,7.391
05032021,36.27,7.393
05032021,36.46,7.393
05032021,36.645,7.393
05032021,36.835,7.393
05032021,37.02,7.389
05032021,37.21,7.394
