Sample_ID,Region,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,W,Hg,Pb,Bi,Th,U
1,Faroes,3791,0,349,6930,20335,13060,1053,105,0,0,46,37,0,0,8,28,0,0,2,6,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,37,10
1,Faroes,3545,0,303,6952,19912,12959,1053,0,0,0,52,37,0,0,6,29,0,0,2,6,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0,0,0,33,9
1,Faroes,4085,0,378,6941,20268,12965,1024,76,0,0,51,39,4,0,8,30,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10
2,Faroes,3342,0,397,6604,18250,12146,772,172,0,0,75,52,0,0,6,31,0,0,2,5,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,36,9
2,Faroes,3876,0,429,6548,18243,12135,773,175,0,0,77,48,0,0,4,30,0,0,2,5,0,0,0,2,0,0,0,0,18,0,37,60,0,0,0,0,0,34,8
2,Faroes,3400,0,335,6591,18555,12129,759,182,0,0,74,55,4,0,6,32,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,35,9
3,Faroes,3983,0,587,5224,14199,6079,1967,610,0,0,138,61,0,0,8,29,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11
3,Faroes,3794,685,701,5234,14128,6139,1979,565,0,0,142,64,0,0,10,29,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11
3,Faroes,4520,889,613,5193,14174,6138,1946,605,0,0,134,60,4,0,10,29,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11
4,Faroes,0,510,491,5392,16203,9710,1349,842,0,0,111,49,4,0,7,34,0,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,41,11
4,Faroes,0,597,393,5385,16121,9687,1348,834,0,0,110,46,0,0,5,33,0,0,1,6,0,0,0,2,0,0,0,0,20,29,39,0,0,0,0,1,0,41,11
4,Faroes,3681,0,474,5438,16390,9751,1372,829,0,0,113,48,0,0,5,33,0,0,2,7,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,41,11
4,Faroes,4057,0,490,5495,16424,9598,790,823,0,0,107,47,4,0,5,35,0,0,2,5,0,0,0,2,0,0,0,0,0,28,43,0,0,0,0,0,0,40,10
4,Faroes,5250,562,367,5435,16364,9631,814,805,0,0,96,44,4,0,6,36,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11
4,Faroes,5283,510,371,5460,16483,9632,784,747,0,0,100,45,3,0,6,37,0,0,1,5,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,42,11
5,Faroes,4168,683,535,5758,15218,7684,1189,953,0,0,121,50,4,0,5,37,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10
5,Faroes,3417,0,490,5714,15625,7716,1190,998,0,0,122,50,0,0,4,35,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10
5,Faroes,4231,0,471,5727,15603,7693,1167,935,0,0,118,49,0,0,5,36,0,0,1,6,0,0,0,0,0,0,0,0,19,0,36,56,0,0,0,0,0,37,10
5,Faroes,3997,506,417,5450,16359,9789,1243,803,0,0,112,52,0,0,5,34,0,0,2,6,0,0,0,3,0,0,0,0,20,38,0,0,0,0,0,0,0,40,10
5,Faroes,4345,0,371,5507,16344,9761,1233,816,0,0,111,48,0,0,6,33,0,0,2,6,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,40,11
5,Faroes,0,0,541,5434,16722,9796,1254,753,0,0,107,50,0,0,4,33,0,0,2,6,0,0,0,0,0,0,0,0,23,28,0,53,0,0,0,0,0,39,11
7,Faroes,4008,590,369,5143,14457,7867,914,1355,0,0,111,51,0,0,3,41,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,58,0,0,0,0,0,39,10
7,Faroes,0,0,512,5180,14513,7829,892,1367,0,0,116,49,0,0,4,41,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10
7,Faroes,4373,0,521,5164,14862,7900,940,1342,0,0,112,48,0,0,4,41,0,0,1,5,0,0,0,0,0,0,0,0,0,33,0,58,0,0,0,0,0,39,11
8,Faroes,4189,0,573,6505,18067,11716,663,181,0,0,93,52,3,0,6,33,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12
8,Faroes,4209,0,498,6579,18336,11663,651,196,0,0,101,51,0,0,5,34,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,45,11
8,Faroes,0,0,468,6566,18039,11707,667,189,0,0,88,48,0,0,4,33,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11
9,Faroes,5466,0,403,5700,16590,10281,677,736,0,0,93,58,4,0,4,37,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10
9,Faroes,4888,0,426,5747,17013,10344,666,774,0,0,89,56,0,0,4,36,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10
9,Faroes,0,0,402,5711,16686,10338,655,789,0,0,86,62,4,0,4,36,0,0,2,5,0,0,0,2,0,0,0,0,17,38,0,0,0,0,0,0,0,38,10
12,Faroes,0,0,364,7012,18779,13304,559,133,0,0,51,53,0,0,5,31,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10
12,Faroes,0,494,373,7006,18586,13333,542,123,0,0,56,50,4,0,5,30,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9
